category,ratio_name,formula,required_items,meaning,interpretation,warning_logic,notes
偿债能力-短期,流动比率,流动资产/流动负债,流动资产合计、流动负债合计,衡量短期偿债能力的一般指标,一般>1为正常 >2为良好；应结合行业和企业特征,<1且持续下降提示短期偿债危机；过高(>3)可能资产闲置,教材指出：需考虑流动资产中非经营性质资产及实际变现能力差异；流动负债中各项目清偿压力不同
偿债能力-短期,速动比率,(流动资产-存货)/流动负债,流动资产、存货、流动负债,衡量即时短期偿债能力,一般>1为良好；低于0.5应高度关注,与流动比率同时下降提示全面流动性恶化,教材指出：未考虑速动资产构成差异；不同销售策略下应收与存货此消彼长
偿债能力-短期,现金比率,(货币资金+交易性金融资产)/流动负债,货币资金、交易性金融资产、流动负债,衡量即时偿付能力,越高即时偿付能力越强；过高可能资金利用效率低,极低(<0.2)提示即时偿付压力极大,需关注受限资金情况
偿债能力-短期,现金与流动负债比率(现金流量比率),经营活动现金净流量/平均流动负债,经营活动现金流量净额、流动负债,以现金流衡量短期偿债的真实能力(教材认可的三个有价值现金流量比率之一),越大越好 >0.5为良好,<0表示经营现金流无法覆盖流动负债,教材明确列出此比率
偿债能力-长期,资产负债率,负债总额/资产总额×100%,负债合计、资产总计,衡量财务杠杆水平,40%-60%通常认为合理；行业差异大,>70%(非金融业)提示高杠杆风险,教材指出严重局限性：各资产项目实际偿债能力不同；各负债项目实际偿付压力不同；忽视表外负债
偿债能力-长期,资产金融负债率,(短期借款+长期借款+应付债券+一年内到期非流动负债+租赁负债)/总资产×100%,各类金融性负债、总资产,衡量真正的金融债务负担(教材独创改进指标),比资产负债率更精准；越低金融风险越小,持续上升警告金融债务负担加重,教材针对资产负债率缺陷设计；排除了经营性负债(应付账款等)
偿债能力-长期,权益乘数,总资产/所有者权益,资产总计、所有者权益合计,衡量财务杠杆倍数,越高杠杆越大；结合ROE看杠杆效率,权益乘数持续上升提示杠杆加码,即1/(1-资产负债率)
偿债能力-长期,利息保障倍数,EBIT/利息费用,净利润、所得税费用、利息费用(财务费用明细),衡量企业支付利息的能力,>3一般安全 >5良好,<2警示偿债能力不足 <1极度危险,利息费用需从财务费用明细提取
偿债能力-长期,现金流量利息保障倍数,经营活动现金流净额/利息费用,经营活动现金流净额、利息费用,以现金流衡量实际付息能力,>2良好,<1表示经营现金流不足以支付利息,比利润口径更可靠
偿债能力-长期,有息负债/EBITDA,(短期借款+长期借款+应付债券+一年内到期非流动负债)/EBITDA,有息负债各项、EBITDA,衡量靠经营利润偿还债务需要的年数,越低越安全,持续上升提示债务偿还周期拉长,教材未明确强调可作为扩展指标
营运能力,应收账款周转率,营业收入/应收账款平均余额(原值),营业收入、应收账款原值(扣除坏账准备前),衡量应收款回收效率,越高回收越快；需结合行业,周转率持续下降警告回款恶化,教材强调：用原值而非净值；应收票据规模大时改用商业债权周转率；需考虑增值税
营运能力,应收款项周转率(商业债权周转率),营业收入/应收款项平均余额(原值),营业收入、应收票据+应收账款+应收款项融资原值,衡量全部商业债权回收效率(教材改进指标),比应收账款周转率更全面,下降警告整体商业债权回收恶化,教材独创；弥补了应收账款周转率在企业大量使用商业汇票时被夸大的缺陷
营运能力,应收账款周转天数,365/应收账款周转率,同上,平均收账期,越短越好；与信用政策匹配,天数持续增长提示坏账风险上升,应与行业平均和信用政策比较
营运能力,存货周转率,营业成本/存货平均余额(原值),营业成本、存货原值(扣除跌价准备前),衡量存货管理效率,越高存货周转越快,周转率持续下降警告存货积压,教材强调用原值；与应收账款周转率存在此消彼长关系
营运能力,存货周转天数,365/存货周转率,同上,平均存货持有天数,越短越好；与生产周期匹配,天数异常增长可能存货跌价风险,结合产品生命周期判断
营运能力,经营资产周转率,营业收入/经营资产平均余额,营业收入、经营资产(=商业债权+存货+固定资产+无形资产等),衡量经营活动资金整体运用效率(教材独创),比总资产周转率更客观直接,下降警告经营资产使用效率恶化,教材指出：排除投资资产干扰；只有经营资产才能带来营业收入
